hash,id,fecha_vencimiento,divisa,nombre_cliente,fecha_emision,importe,concepto
"fsabv-2414##abogados legal, s.l.p.",fsabv-2414,2022-11-14,EUR,"abogados legal, s.l.p.",2022-10-14,"-22,38",honorarios oct 2022
"fsabv-2522##abogados legal, s.l.p.",fsabv-2522,2022-12-15,EUR,"abogados legal, s.l.p.",2022-11-15,"-22,38",honorarios nov 2022
"fsabv-2681##abogados legal, s.l.p.",fsabv-2681,2023-01-16,EUR,"abogados legal, s.l.p.",2022-12-15,"-22,38",honorarios dic 2022
fsabv-2349##sv internet s.l,fsabv-2349,2022-11-01,EUR,sv internet s.l,2022-10-01,"-20,04",ampliacion de recursos hosting plan isp linux (01/10/2022-31/10/2022)
fsabv-2486##sv internet s.l,fsabv-2486,2022-12-01,EUR,sv internet s.l,2022-11-01,"-20,04",ampliacion de recursos hosting plan isp linux (01/11/2022-30/11/2022)
fsabv-2671##telefonica de espana s.a.u.,fsabv-2671,2022-12-13,EUR,telefonica de espana s.a.u.,2022-12-13,"-19,88",telf.: 932683188 (vpn) dic 2022
fsabv-2565##telefonica de espana s.a.u.,fsabv-2565,2022-11-04,EUR,telefonica de espana s.a.u.,2022-11-04,"-19,45",telf.: 932683188 (vpn) nov 2022
fsabv-2393##alicia,fsabv-2393,2022-10-01,EUR,alicia,2022-10-01,"-18,87",renting agua cuota oct 2022
fsabv-2485##alicia,fsabv-2485,2022-11-01,EUR,alicia,2022-11-01,"-18,87",renting agua cuota oct 2022
fsabv-2617##alicia,fsabv-2617,2022-12-01,EUR,alicia,2022-12-01,"-18,87",renting agua cuota dic 2022
fsabv-2394##securitas direct espana,fsabv-2394,2022-10-01,EUR,securitas direct espana,2022-10-01,"-17,64",seguridad oficina oct 2022
fsabv-2490##securitas direct espana,fsabv-2490,2022-11-01,EUR,securitas direct espana,2022-11-01,"-17,64",seguridad oficina nov 2022
fsabv-2633##securitas direct espana,fsabv-2633,2022-12-01,EUR,securitas direct espana,2022-12-01,"-17,64",seguridad oficina dic 2022
"fsabv-2461##29 ecologica, s.l.u.",fsabv-2461,2022-12-22,EUR,"29 ecologica, s.l.u.",2022-09-22,"-17,18",danos por contaminacion medioambiental
fsabv-2669##auxi-foc. s.l.,fsabv-2669,2023-03-13,EUR,auxi-foc. s.l.,2022-12-13,"-13,31","revision anual aparato extintor nc-5, nc-2 y pi-6"
fsabv-2376##telefonica de espana s.a.u.,fsabv-2376,2022-10-04,EUR,telefonica de espana s.a.u.,2022-10-04,"-10,35",telf.: 932683188 (vpn) oct 2022
fsabv-2638##andrea cuevas,fsabv-2638,2022-12-01,EUR,andrea cuevas,2022-12-01,-10,reserva cena navidad 2022 of a cor
"fsabv-2492##holaluz - clidom, s.a.",fsabv-2492,2022-12-01,EUR,"holaluz - clidom, s.a.",2022-11-01,-10,luz oct 2022 of. vig (contador: 155230830)
